BranchCode,Number of Bags,Quantity,Quantity Per,Quantity in KG,Rate per UOM,Total Amount,Exchange Rate,Total Amount (LCY),Division,CGST,SGST,IGST,GST %,GL Account No,ILE Cost Amount Actual,Forward Rate
103,1100,27.5,25,27500,2650,72875,85.4,6223525,2001,0,0,0,0,50102,-5657811.15,83.85
103,720,18,25,18000,3206.1,57709.8,85.4,4928416.92,2001,0,0,0,0,50102,-4342623.3,82.79
103,1000,25,25,25000,4378.56,109464,58.75,6431010,2001,0,0,0,0,50102,-5491291.69,60.5096
103,385,6.98775,18.15,6987.75,3750,26204.06,86.7,2271892.002,2001,0,0,0,0,50102,-2294286.09,84
103,200,5,25,5000,3300,16500,86.7,1430550,2001,0,0,0,0,50102,-1240568.42,84
103,160,4,25,4000,2600,10400,86.7,901680,2001,0,0,0,0,50102,-767303.6,84
103,300,21600,2.952,885.6,0.75,16200,53.55,867510,2002,0,0,0,0,50102,-572011.37,54.9666
103,340,24480,2.952,1003.68,0.75,18360,53.55,983178,2002,0,0,0,0,50102,-675094.13,54.9666
103,200,14400,0.72,144,0.51,7344,53.55,393271.2,2002,0,0,0,0,50102,-221965.38,54.9666
103,588,5292,1.35,793.8,1.26,6667.92,60.05,400408.596,2002,0,0,0,0,50102,-320571.78,59.9758
103,2940,26460,1.35,3969,1.26,33339.6,60.05,2002042.98,2002,0,0,0,0,50102,-1711407.91,59.9758
103,1440,12960,0.9,1296,2.12,27475.2,60.05,1649885.76,2002,0,0,0,0,50102,-1463849.4,59.9758
103,195,2340,6.72,1310.4,4.41,10319.4,60.05,619679.97,2002,0,0,0,0,50102,-551560.44,59.9758
103,360,3240,0.9,324,2.12,6868.8,60.05,412471.44,2002,0,0,0,0,50102,-358725.8,59.9758
103,240,6,25,6000,3750,22500,86.05,1936125,2001,0,0,0,0,50102,-1612742.43,84.8
103,200,5,25,5000,3090,15450,86.05,1329472.5,2001,0,0,0,0,50102,-1121932.37,84.8
103,100,2.5,25,2500,4680,11700,86.05,1006785,2001,0,0,0,0,50102,-885100,84.8
103,720,18,25,18000,2700,48600,86.7,4213620,2001,0,0,0,0,50102,-3326248.36,84
103,1100,27.5,25,27500,2650,72875,86.7,6318262.5,2001,0,0,0,0,50102,-5588355.61,83.85
103,200,14400,0.72,144,0.51,7344,53.8,395107.2,2002,0,0,0,0,50102,-219020.62,53.7691
103,1100,27.5,25,27500,2650,72875,86.05,6270893.75,2001,0,0,0,0,50102,-5623620.55,83.85
103,100,2.268,22.68,2268,2750,6237,86.05,536693.85,2001,0,0,0,0,50102,-559578.51,83.89
103,100,2.268,22.68,2268,2500,5670,86.05,487903.5,2001,0,0,0,0,50102,-504356.39,83.89
103,220,4.9896,22.68,4989.6,5600,27941.76,86.05,2404388.448,2001,0,0,0,0,50102,-1885053.95,83.89
103,1250,25,20,25000,3802,95050,60.05,5707752.5,2001,0,0,0,0,50102,-4990996.04,59.8094
103,1100,27.5,25,27500,2650,72875,86.05,6270893.75,2001,0,0,0,0,50102,-5568416.42,83.85
201,33,20.625,625,20625,14665.7,302480.06,60.05,18163927.6,2001,0,0,0,0,50102,-12652094.26,87.9543
201,7,4.375,625,4375,14665.7,64162.44,60.05,3852954.522,2001,0,0,0,0,50102,-2605048.82,87.9543
201,40,22,550,22000,10544.92,231988.24,60.05,13930893.81,2001,0,0,0,0,50102,-9145022.72,59.5065
201,60,1.5,25,1500,9310,13965,86.05,1201688.25,2001,0,0,0,0,50102,-666354.7,84.8
201,40,22,550,22000,7020,154440,89.3,13791492,2001,0,0,0,0,50102,-13597980.37,88.379
201,40,22,550,22000,7020,154440,89.3,13791492,2001,0,0,0,0,50102,-12983638.99,88.379
201,600,15,25,15000,7600,114000,86.7,9883800,2001,0,0,0,0,50102,-8396479.09,87.51
201,40,22,550,22000,7373.345,162213.59,86.05,13958479.42,2001,0,0,0,0,50102,-12394372.21,86.1814
401,600,15,25,15000,4100,61500,86.7,5332050,2001,0,0,0,0,50102,-6404008.29,83.35
401,380,9.5,25,9500,5350,50825,86.7,4406527.5,2001,0,0,0,0,50102,-4242214.6,83.4
401,600,15,25,15000,6992,104880,60.05,6298044,2001,0,0,0,0,50102,-5033355.47,60.5096
401,752,18.8,25,18800,3120,58656,88.95,5217451.2,2001,0,0,0,0,50102,-4135581.26,89.02
401,200,5,25,5000,2500,12500,88.95,1111875,2001,0,0,0,0,50102,-981675.8,89.02
401,206,5.15,25,5150,5100,26265,88.95,2336271.75,2001,0,0,0,0,50102,-1959273.12,90.0646
201,400,24000,60,24000,3.1215,74916,85.4,6397826.4,2004,0,0,0,0,50102,-4456340.28,84.43
201,1920,24192,12.6,24192,0.9469,22907.4,85.4,1956291.96,2004,0,0,0,0,50102,-1493021.36,84.01
201,400,24000,60,24000,3.1215,74916,85.4,6397826.4,2004,0,0,0,0,50102,-4456340.28,84.33
201,220,12100,55,12100,5.5584,67256.64,86.7,5831150.688,2004,0,0,0,0,50102,-5186499.34,87.36
201,10,5900,590,5900,2.6133,15418.47,86.7,1336781.349,2004,0,0,0,0,50102,-1045722.55,87.36
201,10,5900,590,5900,2.7231,16066.29,86.7,1392947.343,2004,0,0,0,0,50102,-1142777.36,87.36
201,1920,24192,12.6,24192,0.9469,22907.4,86.7,1986071.58,2004,0,0,0,0,50102,-1484259.25,86.81
201,1920,24192,12.6,24192,0.9469,22907.4,86.7,1986071.58,2004,0,0,0,0,50102,-1483556.68,86.81
201,400,24000,60,24000,3.1382,75316.8,86.7,6529966.56,2004,0,0,0,0,50102,-4503677.21,84.66
201,40,24000,600,24000,2.15763,51783.12,86.7,4489596.504,2004,0,0,0,0,50102,-2968420.05,86.8
201,40,23600,590,23600,2.56112,60442.43,86.7,5240358.681,2004,0,0,0,0,50102,-4179157.87,86.7
201,40,23600,590,23600,2.56112,60442.43,86.05,5201071.102,2004,0,0,0,0,50102,-4179864.44,86.7
201,2000,24000,12,24000,0.91657,21997.68,86.05,1892900.364,2004,0,0,0,0,50102,-1417293.58,86.81
201,2000,24000,12,24000,0.91657,21997.68,86.05,1892900.364,2004,0,0,0,0,50102,-1392845.37,86.81
201,400,24000,60,24000,3.1382,75316.8,86.05,6481010.64,2004,0,0,0,0,50102,-4503677.21,84.66
201,2000,24000,12,24000,0.91657,21997.68,86.05,1892900.364,2004,0,0,0,0,50102,-1348140.12,86.81
201,40,23600,590,23600,2.5916,61161.76,86.05,5262969.448,2004,0,0,0,0,50102,-4335867.81,86.85
201,1000,12000,12,12000,0.9165,10998,86.05,946377.9,2004,0,0,0,0,50102,-668759.42,86.81
201,100,1260,12.6,1260,0.9271,1168.15,86.05,100519.3075,2004,0,0,0,0,50102,-136938.5,86.81
